[ DPPBTZ charges ]
C	0.115
C	-0.231
S	-0.174
H	0.093
H	0.184
C	-0.032
C	0.075
C	0.133
C	-0.236
N	-0.135
C	0.475
C	0.483
O	-0.497
O	-0.495
C	0.011
C	0.03
H	0
H	0.0705
H	0.0715
H	0.071
H	0
H	0.084
N	-0.128
C	-0.213
C	0.13
C	0.105
C	-0.084
S	-0.172
H	0.178
H	0.107
C	-0.199
C	0.108
C	0.079
C	0.192
C	-0.209
N	-0.5
N	0.562
N	-0.497
C	-0.228
H	0.146
H	0.165
C	0.1655
H	0.1585
H	0
C	-0.162
C	0.202
C	-0.002
