[ TIFBT charges ]
C	0.036
C	-0.162
S	-0.176
C	-0.02
C	0.056
C	-0.204
C	-0.024
C	0.02
C	-0.179
C	0.415
C	-0.021
C	0.007
C	0.329
C	0.002
C	-0.008
C	-0.256
C	0.115
C	0.11
C	-0.229
C	-0.241
C	0.111
C	0.098
C	-0.21
C	-0.19
C	-0.192
C	-0.181
C	-0.182
H	0.088
H	0.092
H	0.145
H	0.179
H	0.15
H	0.186
H	0.047
H	0.036
H	0
H	0.029
H	0.055
H	0
H	0.0665
H	0.0265
H	0
H	0.0515
H	0.0405
H	0
H	0.091
H	0.089
S	-0.182
C	-0.158
C	0.045
C	0.009
C	0.22
C	-0.154
N	-0.315
N	-0.316
S	0.265
H	0.16
H	0.156
C	-0.168
C	0.218
C	0.024
